in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,0,0,608.58785,0,608.58785,945.67898,0,945.67898,0,0,608.58785,0,608.58785,945.67898,0,945.67898
SOFA,-98,-46,98,-46,98,46,-98,46,-300.8836669921875,-90.83454132080078,-104.8836669921875,-90.83454132080078,-104.8836669921875,1.1654586791992188,-300.8836669921875,1.1654586791992188
TABLE,-50,-50,50,-50,50,50,-50,50,-235.88365170744333,55.40707394865427,-135.88365170744333,55.40707400056448,-135.88365175935354,155.40707400056448,-235.88365175935354,155.40707394865427
SEATING,-40,-35.55,40,-35.55,40,35.55,-40,35.55,-378.75406324882596,199.34718532264228,-415.72882122150963,128.40448116737718,-352.6784929035178,95.5431650191546,-315.7037349308341,166.4858691744197
SEATING,-29,-28,29,-28,29,28,-29,28,-108.20040893554688,-121.86734008789062,-166.20040893554688,-121.86734008789062,-166.20040893554688,-177.86734008789062,-108.20040893554688,-177.86734008789062
SEATING,-29,-28,29,-28,29,28,-29,28,-253.89825439453125,-200.64845275878906,-253.89825439453125,-258.64845275878906,-197.89825439453125,-258.64845275878906,-197.89825439453125,-200.64845275878906
STORAGE_FURNITURE,-60,-20,60,-20,60,20,-60,20,-309.2682800292969,-386.174072265625,-309.2682800292969,-506.174072265625,-269.2682800292969,-506.174072265625,-269.2682800292969,-386.174072265625
DECORATION,-120,-90,120,-90,120,90,-120,90,-84.86016845703128,-40.5290451049805,-84.86016845703122,199.4709548950195,-264.86016845703125,199.47095489501956,-264.86016845703125,-40.52904510498044
SEATING,-29,-28,29,-28,29,28,-29,28,-18.692470550537116,-238.1773223876953,-18.692470550537102,-180.1773223876953,-74.69247055053711,-180.1773223876953,-74.69247055053711,-238.1773223876953
SEATING,-29,-28,29,-28,29,28,-29,28,-167.7601318359375,-313.8594665527344,-109.7601318359375,-313.8594665527344,-109.7601318359375,-257.8594665527344,-167.7601318359375,-257.8594665527344
SOFA,-101,-46.8,101,-46.8,101,46.8,-101,46.8,14.170578765869173,-25.57845306396483,14.170578765869102,176.42154693603516,-79.4294212341309,176.42154693603516,-79.42942123413081,-25.578453063964858
SEATING,-40,-35.55,40,-35.55,40,35.55,-40,35.55,-393.89324624933795,41.73284805391319,-342.15714272930256,-19.28662090939541,-287.92608968816205,26.69384109403603,-339.66219320819744,87.71331005734463
TABLE,-52.45,-52.45,52.45,-52.45,52.45,52.45,-52.45,52.45,-91.45943908691407,-267.32014770507817,-91.45943908691405,-162.42014770507814,-196.35943908691405,-162.4201477050781,-196.35943908691408,-267.3201477050781
STORAGE_FURNITURE,-65.5,-25.3,65.5,-25.3,65.5,25.3,-65.5,25.3,105.32056884765628,-217.9013214111328,105.32056884765623,-86.9013214111328,54.720568847656224,-86.90132141113283,54.720568847656274,-217.9013214111328
STORAGE_FURNITURE,-69.6,-23.9,69.6,-23.9,69.6,23.9,-69.6,23.9,106.7205718994141,-222.74686584472653,106.72057189941404,-83.54686584472655,58.920571899414035,-83.54686584472658,58.92057189941409,-222.74686584472659
VEGETATION,-19.1,-18.95,19.1,-18.95,19.1,18.95,-19.1,18.95,102.07057495117186,-66.42968521118165,102.07057495117188,-28.229685211181646,64.17057495117189,-28.229685211181632,64.17057495117187,-66.42968521118163
STORAGE_FURNITURE,-30,-15,30,-15,30,15,-30,15,-319.9950866699219,-382.1323547363281,-259.9950866699219,-382.1323547363281,-259.9950866699219,-352.1323547363281,-319.9950866699219,-352.1323547363281
SEATING,-40,-35.55,40,-35.55,40,35.55,-40,35.55,-444.87287854392787,-95.884131404977,-492.09717472673617,-160.45862985473966,-434.70658922950963,-202.42922308721052,-387.48229304670133,-137.85472463744784
STORAGE_FURNITURE,-35.15,-20.45,35.15,-20.45,35.15,20.45,-35.15,20.45,-380.1008544921875,276.4796630859375,-450.4008544921875,276.4796630859375,-450.4008544921875,235.5796630859375,-380.1008544921875,235.5796630859375
STORAGE_FURNITURE,-35.15,-20.45,35.15,-20.45,35.15,20.45,-35.15,20.45,-496.9385559082031,-10.28506622314454,-496.9385559082031,-80.58506622314454,-456.03855590820314,-80.58506622314452,-456.03855590820314,-10.285066223144526
STORAGE_FURNITURE,-35.15,-20.45,35.15,-20.45,35.15,20.45,-35.15,20.45,-496.9385559082031,154.72493591308591,-496.9385559082031,84.42493591308593,-456.03855590820314,84.42493591308595,-456.03855590820314,154.72493591308594
DECORATION,-10.5,-1.5,10.5,-1.5,10.5,1.5,-10.5,1.5,-486.9759826660156,216.81967163085938,-465.9759826660156,216.81967163085938,-465.9759826660156,219.81967163085938,-486.9759826660156,219.81967163085938
SEATING,-57.05,-21.5,57.05,-21.5,57.05,21.5,-57.05,21.5,-6.618769836425784,274.52110290527344,-120.71876983642578,274.52110290527344,-120.71876983642578,231.52110290527344,-6.618769836425784,231.52110290527344
DECORATION,-30,-1.35,30,-1.35,30,1.35,-30,1.35,-164.69215393066406,267.2491088867188,-224.69215393066406,267.2491088867188,-224.69215393066406,264.5491088867187,-164.69215393066406,264.5491088867187
STORAGE_FURNITURE,-69.6,-23.9,69.6,-23.9,69.6,23.9,-69.6,23.9,-332.0960754394531,-368.5720275878906,-332.09607543945316,-507.7720275878906,-284.29607543945315,-507.77202758789065,-284.2960754394531,-368.57202758789066
DECORATION,-30.15,-3.6,30.15,-3.6,30.15,3.6,-30.15,3.6,-56.62571563720702,-406.40839233398435,-56.625715637207044,-346.1083923339844,-63.82571563720704,-346.1083923339844,-63.82571563720702,-406.40839233398435
DECORATION,-27.65,-1.6,27.65,-1.6,27.65,1.6,-27.65,1.6,-56.62571563720702,-538.9399169921875,-56.625715637207044,-483.6399169921875,-59.82571563720704,-483.6399169921875,-59.82571563720702,-538.9399169921875
STORAGE_FURNITURE,-69.6,-23.9,69.6,-23.9,69.6,23.9,-69.6,23.9,-332.6682800292969,-368.70392456054685,-332.66828002929685,-507.9039245605469,-284.86828002929684,-507.9039245605469,-284.8682800292969,-368.70392456054685
