in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-197,409,-197,891,262,891,262,409,-197,409,-197,891,262,891,262,409
STORAGE_FURNITURE,-90,-24.1,90,-24.1,90,24.1,-90,24.1,-256.99000549316406,448.5767883300781,-76.99000549316406,448.5767883300781,-76.99000549316406,496.77678833007815,-256.99000549316406,496.77678833007815
MULTIMEDIA,-45.4,-1.75,45.4,-1.75,45.4,1.75,-45.4,1.75,-239.69998779296876,467.6600036621094,-148.89998779296874,467.6600036621094,-148.89998779296874,471.1600036621094,-239.69998779296876,471.1600036621094
SOFA,-29.5,-29.5,29.5,-29.5,29.5,29.5,-29.5,29.5,196.4378662109375,415.0859680175781,255.4378662109375,415.0859680175781,255.4378662109375,474.0859680175781,196.4378662109375,474.0859680175781
DECORATION,-54.05,-8.7,54.05,-8.7,54.05,8.7,-54.05,8.7,-238.6825378417969,704.957958984375,-130.58253784179686,704.957958984375,-130.58253784179686,722.357958984375,-238.6825378417969,722.357958984375
DECORATION,-54.05,-8.7,54.05,-8.7,54.05,8.7,-54.05,8.7,-238.65676574707032,597.3445556640625,-130.5567657470703,597.3445556640625,-130.5567657470703,614.7445556640625,-238.65676574707032,614.7445556640625
TABLE,-100,-47.65,100,-47.65,100,47.65,-100,47.65,-67.34789657592773,694.7452026367188,132.65210342407227,694.7452026367188,132.65210342407227,790.0452026367187,-67.34789657592773,790.0452026367187
SEATING,-24.15,-28.45,24.15,-28.45,24.15,28.45,-24.15,28.45,88.32283172607421,664.9298828125,136.62283172607422,664.9298828125,136.62283172607422,721.8298828125,88.32283172607421,721.8298828125
SEATING,-24.15,-28.45,24.15,-28.45,24.15,28.45,-24.15,28.45,32.29605255126953,661.768505859375,80.59605255126954,661.768505859375,80.59605255126954,718.668505859375,32.29605255126953,718.668505859375
SEATING,-24.15,-28.45,24.15,-28.45,24.15,28.45,-24.15,28.45,-21.958700561523436,666.35712890625,26.34129943847656,666.35712890625,26.34129943847656,723.25712890625,-21.958700561523436,723.25712890625
